Наименование;Описание
ШВП (ШАРИКО-ВИНТОВЫЕ ПАРЫ);ШВП предназначена для преобразования вращательного движения в прямолинейное, применяются в деревообрабатывающих и металлообрабатывающих станках, промышленных роботах, транспортных средствах. Кинематическая точность: внутришаговая 4-6мкм, накопленная на длине 1000мм до 20мкм. КПД 90%, экономия веса, высокая точность и жесткость. В наличии 50 типоразмеров ШВП.
ШВП шарико-винтовая пара передача 30.06.600 для станка с ЧПУ 1В340Ф3;Шарико-винтовая пара предназначена для точного преобразования вращательного движения в поступательное в системе подач станка с числовым программным управлением 1В340Ф3. Обеспечивает высокоточное позиционирование инструмента и детали при фрезеровании и сверлении.
Шестерни вала зажима разжима кулачков специальных трубообрабатывающих станков РТ783 РТ783Ф3;Применяется в качестве запасной части в шпиндельной бабке специальных трубообрабатывающих станков мод. РТ783, РТ783Ф3 служат для синхронизации работы кулачков правого и левого токарных патронов ф. 630мм. трубных станков поставляется как отдельно так и в комплекте с валом.
Шестерни горизонтально-расточного станка 2Н636ГФ1;Шестерни предназначены для передачи крутящего момента в кинематических цепях привода главного шпинделя и механизмов подач горизонтально-расточного станка 2Н636ГФ1. Обеспечивают точность позиционирования и стабильность при обработке высокоточных отверстий.
Шестерни конические с круговым зубом для карусельных станков 1512;Шестерни конические с круговым зубом предназначены для передачи крутящего момента между пересекающимися валами карусельного станка 1512. Обеспечивают плавное зацепление и высокую плотность контакта при обработке крупногабаритных деталей.
Шестерни коробки скоростей и насоса станков 1Н65 1М65 165 ДИП500 РТ117 РТ817;Шестерни коробки скоростей (шпиндельной бабки) 8-ми шлицевая, используется вместе с 8-ми шлицевым валом. Шестерни шлицевые насоса шпиндельной бабки (коробки скоростей) используются в паре на насосе. Изделия предназначены для обеспечения передачи крутящего момента и распределения мощности в системе привода станков. Шестерни изготавливаются из высокопрочной стали и обеспечивают стабильную работу коробки скоростей и насоса при длительной эксплуатации и высоких нагрузках при обработке различных мате
Шестерни насоса токарно-винторезных станков 1М63,1М63Н,ДИП300;Комплект шестерен предназначен для обеспечения стабильной работы гидравлической системы токарно-винторезного станка модели 1М63 (ДИП300). Данный элемент является важным компонентом насосного агрегата, отвечающего за подачу смазочно-охлаждающей жидкости (СОЖ) и обеспечение оптимального режима обработки деталей.
Шестерни станков 1Н983;Шестерни являются основными элементами трансмиссии специальных трубообрабатывающих станков. Предназначены для передачи и преобразования крутящего момента от электродвигателя, обеспечивая различные режимы работы станка при обработке труб различных диаметров.
Шестерни фартука для станков 1М63;Шестерни фартука предназначены для передачи крутящего момента к фартуку токарно-винторезного станка 1М63. Обеспечивают плавное и точное перемещение фартука при продольной и поперечной подаче инструмента при обработке деталей.
Шестерни фартука станков мод. СА630 z-41;Шестерни фартука предназначены для передачи крутящего момента к фартуку токарного станка модели СА630 с числом зубьев 41. Обеспечивают плавное и точное перемещение фартука при продольной и поперечной подаче инструмента.
Шестерня;Шестерни предназначены для передачи вращения и изменения угловой скорости в механических системах станков и промышленного оборудования. Применяются в коробках передач, редукторах и других узлах.
Шестерня 16К20.061.441 и вал шестерня 16Б20П.061.070-01 токарно-винторезного станка мод. 16К20;Комплект шестерни и вала-шестерни предназначен для замены изношенных деталей в кинематической цепи передачи крутящего момента на токарно-винторезном станке 16К20. Обеспечивает точную и надежную передачу мощности при различных режимах работы.
Шестерня 1М63Б.70.210 в коробку подач;Краткое определение и назначение
Шестерня вал для станков 1Н983;Шестерня-вал предназначена для передачи крутящего момента в коробке передач специального трубообрабатывающего станка. Обеспечивает связь между различными ступенями передач и позволяет менять режимы работы станка.
Шестерня и вал с эвольвентными шлицами для пресса КБ2330;Шестерня и вал с эвольвентными шлицами применяются в прессах КБ2330, изготавливаются совместно и используются с основным валом пресса. Произведены для исполнения госкотракта с параметрами: шестерня z-28, m-5, z1-70, m-5 и вал с эвольвентными шлицами. Компоненты изготавливаются из высокопрочной стали и обеспечивают надежную передачу крутящего момента, точность позиционирования и стабильную работу гидравлической системы пресса при выполнении операций прессования.
Шестерня и Вал-рейка гидравлического механизма перемещения резцедержателя для станков 1Н983, 1М983, 1А983, РТ983, СА983;Применяется в качестве запасных частей для специальных трубообрабатывающих станков, устанавливается в каретке станков для перемещения резцедержателя, поставляется как отдельно, так и комплектом в сборе.
Шестерня тормоза для токарно-винторезных станков мод. 1К62;Шестерня тормоза применяется в шпиндельной бабке (коробке скоростей) токарно-винторезного станка модели 1К62. Служит для осуществления работы и взаимодействия механизмов шпиндельной бабки станка. Поставляется как отдельно так и в сборе с другими компонентами. Шестерня изготавливается из высокопрочной стали и обеспечивает надежное торможение шпинделя и стабильную работу всей системы управления скоростями при выполнении токарных операций.
Шестерня фартука с бронзовым червячным венцом для станков 1М63;Шестерня фартука с бронзовым венцом предназначена для передачи движения фартуку токарно-винторезного станка 1М63. Обеспечивает плавное и точное перемещение фартука при продольной и поперечной обработке деталей, является ключевым элементом механизма подач.
Шлифование шпинделей станков;Услуга шлифования шпинделей станков предназначена для восстановления геометрических параметров и точности вращения главного органа станка. Выполняется для возврата шпинделя к исходным техническим характеристикам после износа, биения или повреждений поверхности.
Шпиндель 16К40 (в заднюю бабку станков мод. 16К40);Шпиндель задней бабки предназначен для подпора и центрирования длинных деталей при обработке на токарном станке. Обеспечивает точную фиксацию детали и исключает ее биение при высоких скоростях вращения.
Шпиндель 1Н65;Шпиндель предназначен для вращения заготовки при обработке на токарном станке. Обеспечивает передачу крутящего момента от электродвигателя через коробку скоростей к обрабатываемой детали.
Шпиндель в сборе с пинолью и втулками бронза станков 2Н125;Шпиндель в полной сборке с пинолью и бронзовыми втулками предназначен для замены основного вращающегося органа горизонтально-расточного станка модели 2Н125. Обеспечивает высокоточное вращение при обработке отверстий и расточке внутренних поверхностей.
Шпиндель для сверлильных станков 2К52;Шпиндель предназначен для вращения сверла и других режущих инструментов при выполнении операций бурения на сверлильном станке. Передает крутящий момент от электродвигателя к инструменту.
Шпиндель шлифовальных станков;Шпиндель предназначен для вращения шлифовального круга в станках шлифовки различных типов. Обеспечивает высокоточное вращение на требуемой частоте для выполнения операций шлифования с заданной точностью и чистотой поверхности.
Шток гидроцилиндра;Применяется в качестве запасной части в промышленном оборудовании, изготавливается по чертежам и эскизам Заказчиков.
Штурвал задней бабки токарно-винторезных станков 16К20, 16Б20;"представляет собой управляющий элемент, обеспечивающий ручное перемещение пиноли задней бабки. Материал изготовления – сталь повышенной прочности; гладкая поверхность рукоятки обеспечивает удобство эксплуатации; механизм фиксации положения с возможностью плавной настройки перемещения. Применение данного устройства позволяет повысить точность обработки детали и обеспечить надежное позиционирование инструмента при обработке."
Штурвал фартука, кронштейны и ручка переключения станка 16К20;Применяется в токарно-винторезного станка мод. 16К20, служит для работы валов и осуществления работы и взаимодействия механизмов фартука станка.
Экран защиты зоны резания и патронов станков 16К20;Экран защиты предназначен для обеспечения безопасности оператора при работе на токарно-винторезном станке 16К20. Защищает от полета стружки и брызг охлаждающей жидкости при обработке деталей на высоких скоростях.
Этапы производства и сборки специального бандажировочного станка мод. РТ5004 для РЖД;Комплекс услуг по производству и сборке специального бандажировочного станка модели РТ5004 для нужд Российских железных дорог. Включает полный цикл изготовления, контроля и наладки оборудования под специфические требования клиента.
Якорь для станков 1Н983;Якорь предназначен для функционирования электромагнитного механизма управления на токарном станке 1Н983. Обеспечивает срабатывание электрических цепей управления при подаче напряжения на обмотку.
